task_id,model,dataset,fold,overall_dataset_auc,student_stats_mean,student_stats_std,student_stats_max,student_stats_min,student_stats_range,student_stats_epi,student_stats_gini_coefficient,student_stats_average_auc,student_stats_eawi_alpha_10,student_stats_eawi_alpha_20,student_stats_eawi_alpha_30,student_stats_iqr,student_stats_q1,student_stats_q3
0,lefokt,assist2009,0,0.7334677085030903,0.5994440758774442,0.2128567058844429,1.0,0.0,1.0,2.816186003568403,0.1913842113736004,0.5994440758774442,0.48471994415306285,0.39195219990427327,0.3169387372294462,0.23766233766233757,0.5,0.7376623376623376
1,lefokt,nips_task34,0,0.8013368164930341,0.7101971203118457,0.09642988097577582,0.9774885515661695,0.44555009268545465,0.5319384588807149,13.845412061494498,0.07597359854701669,0.7101971203118457,0.6562408894040263,0.6063839075223075,0.5603147399668365,0.12566579129166866,0.6533945594047895,0.7790603506964582
7,lefokt,peiyou,1,0.8220013533943001,0.7639491585369312,0.061233094739512044,0.9736815030194588,0.5026169204877196,0.4710645825317392,26.48486691125056,0.04475449002360097,0.7639491585369312,0.7297590035426518,0.6970990114989692,0.6659007007433765,0.07805041999931217,0.7253417508205793,0.8033921708198914
11,ukt,assist2009,1,0.7700655687557955,0.6371031466758927,0.2032052582110293,1.0,0.0,1.0,3.1352689998516627,0.17204120321760802,0.6371031466758927,0.527495154748048,0.4367442536337355,0.36160624674021147,0.2666666666666666,0.5,0.7666666666666666
13,robustkt,nips_task34,0,0.8054724194111622,0.714315301461577,0.09826979712158558,0.9901010304017149,0.3019607843137255,0.6881402460879894,10.563137558624566,0.07624268421141969,0.714315301461577,0.6598539855048569,0.6095449464623635,0.5630716035965667,0.12368734309686924,0.6615420254300386,0.7852293685269078
14,robustkt,peiyou,1,0.8234872804841973,0.7633502401932044,0.06142199907212973,0.9774541426383866,0.4637880355665057,0.5136661070718809,24.1946302015624,0.04498287096579139,0.7633502401932044,0.7290125548368876,0.696219477150218,0.6649015262456991,0.07904236508841656,0.7245758549587059,0.8036182200471225
19,iekt,nips_task34,0,0.804506554566043,0.7179302321786118,0.09367991708965924,0.988722564320624,0.446875,0.541847564320624,14.143556143540236,0.07288731389558495,0.7179302321786118,0.6656022259906792,0.6170882676152964,0.5721103613523375,0.12122881036199518,0.6624386252045826,0.7836674355665778
20,iekt,peiyou,3,0.826436500511132,0.7698431722984642,0.060768634599270586,0.9787952303572656,0.46593993613355156,0.512855294223714,24.701762450108074,0.044176310513937174,0.7698431722984642,0.7358343412719728,0.7033278949251237,0.6722574634457976,0.0807387458017712,0.7297946899221175,0.8105334357238887
