model,dataset,n_folds,metric,mean,std,mean±std
lefokt_akt,peiyou,1,student_stats_q1,0.725342,0.0,0.7253
lefokt_akt,peiyou,1,student_stats_q3,0.803392,0.0,0.8034
robustkt,nips_task34,1,overall_dataset_auc,0.805472,0.0,0.8055
robustkt,nips_task34,1,student_stats_mean,0.714315,0.0,0.7143
robustkt,nips_task34,1,student_stats_std,0.09827,0.0,0.0983
robustkt,nips_task34,1,student_stats_max,0.990101,0.0,0.9901
robustkt,nips_task34,1,student_stats_min,0.301961,0.0,0.3020
robustkt,nips_task34,1,student_stats_range,0.68814,0.0,0.6881
robustkt,nips_task34,1,student_stats_epi,10.563138,0.0,10.5631
robustkt,nips_task34,1,student_stats_gini_coefficient,0.076243,0.0,0.0762
robustkt,nips_task34,1,student_stats_average_auc,0.714315,0.0,0.7143
robustkt,nips_task34,1,student_stats_eawi_alpha_10,0.659854,0.0,0.6599
robustkt,nips_task34,1,student_stats_eawi_alpha_20,0.609545,0.0,0.6095
robustkt,nips_task34,1,student_stats_eawi_alpha_30,0.563072,0.0,0.5631
robustkt,nips_task34,1,student_stats_iqr,0.123687,0.0,0.1237
robustkt,nips_task34,1,student_stats_q1,0.661542,0.0,0.6615
robustkt,nips_task34,1,student_stats_q3,0.785229,0.0,0.7852
robustkt,peiyou,1,overall_dataset_auc,0.823487,0.0,0.8235
robustkt,peiyou,1,student_stats_mean,0.76335,0.0,0.7634
robustkt,peiyou,1,student_stats_std,0.061422,0.0,0.0614
robustkt,peiyou,1,student_stats_max,0.977454,0.0,0.9775
robustkt,peiyou,1,student_stats_min,0.463788,0.0,0.4638
robustkt,peiyou,1,student_stats_range,0.513666,0.0,0.5137
robustkt,peiyou,1,student_stats_epi,24.19463,0.0,24.1946
robustkt,peiyou,1,student_stats_gini_coefficient,0.044983,0.0,0.0450
robustkt,peiyou,1,student_stats_average_auc,0.76335,0.0,0.7634
robustkt,peiyou,1,student_stats_eawi_alpha_10,0.729013,0.0,0.7290
robustkt,peiyou,1,student_stats_eawi_alpha_20,0.696219,0.0,0.6962
robustkt,peiyou,1,student_stats_eawi_alpha_30,0.664902,0.0,0.6649
robustkt,peiyou,1,student_stats_iqr,0.079042,0.0,0.0790
robustkt,peiyou,1,student_stats_q1,0.724576,0.0,0.7246
robustkt,peiyou,1,student_stats_q3,0.803618,0.0,0.8036
ukt,assist2009,1,overall_dataset_auc,0.770066,0.0,0.7701
ukt,assist2009,1,student_stats_mean,0.637103,0.0,0.6371
ukt,assist2009,1,student_stats_std,0.203205,0.0,0.2032
ukt,assist2009,1,student_stats_max,1.0,0.0,1.0000
ukt,assist2009,1,student_stats_min,0.0,0.0,0.0000
ukt,assist2009,1,student_stats_range,1.0,0.0,1.0000
ukt,assist2009,1,student_stats_epi,3.135269,0.0,3.1353
ukt,assist2009,1,student_stats_gini_coefficient,0.172041,0.0,0.1720
ukt,assist2009,1,student_stats_average_auc,0.637103,0.0,0.6371
ukt,assist2009,1,student_stats_eawi_alpha_10,0.527495,0.0,0.5275
ukt,assist2009,1,student_stats_eawi_alpha_20,0.436744,0.0,0.4367
ukt,assist2009,1,student_stats_eawi_alpha_30,0.361606,0.0,0.3616
ukt,assist2009,1,student_stats_iqr,0.266667,0.0,0.2667
ukt,assist2009,1,student_stats_q1,0.5,0.0,0.5000
ukt,assist2009,1,student_stats_q3,0.766667,0.0,0.7667
